# Mesa 期刊缩写兜底。公开表没有时用这里。一行一个刊：全称,缩写
# & 写成 and。一词刊名的缩写就写全称。改完重新编译 Mesa，再点同步。
Energy Storage Materials,Energy Storage Mater.
Journal of Energy Chemistry,J. Energy Chem.
Angewandte Chemie,Angew. Chem.
Angewandte Chemie International Edition,Angew. Chem. Int. Ed.
Energy and Environmental Materials,Energy Environ. Mater.
Interdisciplinary Materials,Interdiscip. Mater.
Batteries and Supercaps,Batteries Supercaps
The Chemical Record,Chem. Rec.
Communications Materials,Commun. Mater.
Frontiers in Batteries and Electrochemistry,Front. Batteries Electrochem.
Nature Electronics,Nat. Electron.
Nature Sustainability,Nat. Sustainability
Nature Chemical Engineering,Nat. Chem. Eng.
Nature Synthesis,Nat. Synth.
Communications Chemistry,Commun. Chem.
Communications Engineering,Commun. Eng.
npj Flexible Electronics,npj Flexible Electron.
Science Robotics,Sci. Rob.
Chem Catalysis,Chem Catal.
Cell Reports Physical Science,Cell Rep. Phys. Sci.
Journal of Energy Storage,J. Energy Storage
Materials Today Energy,Mater. Today Energy
Materials Today Nano,Mater. Today Nano
Small Methods,Small Methods
Advanced Powder Materials,Adv. Powder Mater.
Science Bulletin,Sci. Bull.
Science China Chemistry,Sci. China Chem.
Science China Technological Sciences,Sci. China Technol. Sci.
Battery Energy,Battery Energy
Carbon Energy,Carbon Energy
Next Materials,Next Mater.
Energy Storage,Energy Storage
Electrochemical Energy Reviews,Electrochem. Energy Rev.
Energy Material Advances,Energy Mater. Adv.
Energy Advances,Energy Adv.
Sustainable Energy & Fuels,Sustainable Energy Fuels
Green Energy & Environment,Green Energy Environ.
Fundamental Research,Fundam. Res.
Nature,Nature
Science,Science
